applicant_name,age,gender,marital_status,education,employment_status,annual_income,monthly_income,coapplicant_income,loan_amount,loan_term,credit_score,existing_loans,savings,property_area,dti_ratio,collateral_value,loan_purpose,dependents,loan_status
Amit Rodriguez,35,Female,Married,Not Graduate,Unemployed,51700.0,4308.33,41100.0,273000.0,24,501,1,34500.0,Rural,85.0,133400.0,Education Loan,0,0
William Williams,41,Female,Married,Graduate,Business,23600.0,1966.67,2100.0,157000.0,36,668,1,70100.0,Urban,85.0,162100.0,Home Loan,0,1
Charles Verma,39,Male,Married,Graduate,Salaried,36500.0,3041.67,11500.0,166000.0,36,631,0,7900.0,Urban,85.0,140900.0,Business Loan,2,0
Jessica Williams,49,Male,Single,Not Graduate,Unemployed,68000.0,5666.67,0.0,233000.0,360,644,0,2700.0,Semiurban,11.42,254200.0,Business Loan,2,1
Karen Davis,45,Male,Married,Not Graduate,Self-Employed,32300.0,2691.67,35900.0,33000.0,48,672,2,1700.0,Semiurban,22.65,39600.0,Auto Loan,1,1
Priya Davis,53,Male,Married,Not Graduate,Self-Employed,34800.0,2900.0,13500.0,148000.0,240,771,0,63100.0,Rural,15.32,50400.0,Education Loan,1,1
James Davis,52,Male,Single,Post Graduate,Salaried,97300.0,8108.33,0.0,72000.0,120,588,0,108700.0,Rural,7.4,30200.0,Personal Loan,1,1
Karen Hernandez,55,Female,Single,Not Graduate,Salaried,59500.0,4958.33,0.0,308000.0,360,505,4,10800.0,Rural,41.46,354100.0,Auto Loan,0,0
Thomas Davis,64,Female,Single,Not Graduate,Self-Employed,52000.0,4333.33,0.0,147000.0,48,597,4,35500.0,Urban,85.0,187200.0,Business Loan,0,0
Patricia Garcia,58,Male,Single,Graduate,Business,37300.0,3108.33,0.0,205000.0,36,762,0,300.0,Semiurban,85.0,120500.0,Personal Loan,0,0
Linda Brown,46,Female,Married,Graduate,Self-Employed,79100.0,6591.67,12700.0,160000.0,24,548,0,6300.0,Semiurban,85.0,44700.0,Personal Loan,2,0
John Verma,31,Female,Married,Graduate,Salaried,35300.0,2941.67,15000.0,154000.0,48,634,1,35100.0,Rural,83.7,156600.0,Home Loan,3,0
Carlos Williams,55,Female,Divorced,Not Graduate,Salaried,80100.0,6675.0,0.0,199000.0,180,747,2,2000.0,Urban,25.55,276500.0,Business Loan,0,1
Carlos Gonzalez,28,Female,Single,Graduate,Business,23300.0,1941.67,0.0,114000.0,24,675,0,19000.0,Urban,85.0,140900.0,Auto Loan,0,1
Sarah Verma,66,Male,Married,Graduate,Salaried,110000.0,9166.67,9000.0,162000.0,48,770,0,32600.0,Rural,34.03,86700.0,Personal Loan,0,1
Susan Johnson,34,Male,Single,Graduate,Salaried,51200.0,4266.67,0.0,161000.0,360,517,2,43600.0,Urban,24.54,17700.0,Personal Loan,2,0
Mary Garcia,30,Male,Single,Not Graduate,Salaried,46000.0,3833.33,0.0,142000.0,120,654,3,18100.0,Semiurban,54.35,221500.0,Home Loan,2,1
John Verma,22,Male,Single,Post Graduate,Salaried,62500.0,5208.33,0.0,215000.0,24,787,2,29900.0,Urban,85.0,297400.0,Home Loan,0,1
William Brown,66,Female,Single,Graduate,Self-Employed,64000.0,5333.33,0.0,140000.0,12,590,0,23300.0,Urban,85.0,22600.0,Personal Loan,2,0
James Brown,29,Female,Married,Post Graduate,Self-Employed,26400.0,2200.0,68800.0,325000.0,24,763,1,1600.0,Semiurban,85.0,133400.0,Personal Loan,2,1
James Wilson,23,Male,Divorced,Graduate,Salaried,83500.0,6958.33,0.0,237000.0,360,661,1,40700.0,Urban,13.77,237700.0,Business Loan,0,1
Rahul Verma,41,Male,Married,Graduate,Salaried,34500.0,2875.0,11900.0,59000.0,360,715,0,5700.0,Semiurban,5.0,31600.0,Personal Loan,0,1
Karen Davis,46,Female,Single,Post Graduate,Business,125900.0,10491.67,0.0,230000.0,360,781,0,1000.0,Urban,6.09,88900.0,Education Loan,1,1
Linda Miller,28,Male,Single,Graduate,Salaried,96600.0,8050.0,0.0,118000.0,360,714,0,18000.0,Urban,5.0,162700.0,Home Loan,0,1
John Smith,22,Male,Single,Post Graduate,Salaried,39100.0,3258.33,0.0,192000.0,120,633,1,60200.0,Urban,58.31,112700.0,Education Loan,0,0
James Verma,26,Female,Married,Graduate,Unemployed,94200.0,7850.0,18700.0,114000.0,48,725,1,4900.0,Semiurban,28.43,158200.0,Home Loan,0,1
Barbara Hernandez,48,Male,Married,Graduate,Salaried,39800.0,3316.67,15400.0,10000.0,60,627,2,400.0,Urban,16.67,9200.0,Auto Loan,1,1
Charles Garcia,49,Male,Divorced,Post Graduate,Business,24800.0,2066.67,0.0,178000.0,240,702,2,3500.0,Semiurban,64.92,25300.0,Personal Loan,2,0
Amit Garcia,46,Male,Single,Graduate,Salaried,167000.0,13916.67,0.0,51000.0,360,580,3,13600.0,Semiurban,7.49,30000.0,Personal Loan,1,1
Susan Wilson,45,Female,Married,Post Graduate,Self-Employed,67600.0,5633.33,6500.0,218000.0,60,682,2,26000.0,Semiurban,68.56,371300.0,Home Loan,0,1
Jennifer Garcia,32,Female,Married,Post Graduate,Salaried,47400.0,3950.0,13900.0,196000.0,120,775,0,6400.0,Semiurban,31.97,335500.0,Home Loan,0,1
Richard Williams,25,Male,Married,Graduate,Unemployed,42800.0,3566.67,3500.0,126000.0,360,656,0,48600.0,Urban,9.07,197600.0,Auto Loan,1,1
Priya Davis,54,Male,Married,Graduate,Salaried,37700.0,3141.67,8300.0,344000.0,36,767,1,42000.0,Urban,85.0,103900.0,Personal Loan,0,0
Mary Jones,57,Male,Married,Graduate,Salaried,199400.0,16616.67,7800.0,68000.0,360,850,0,35700.0,Semiurban,5.0,39700.0,Education Loan,1,1
James Lopez,35,Female,Married,Graduate,Unemployed,26500.0,2208.33,17700.0,124000.0,36,678,3,20100.0,Urban,85.0,109700.0,Home Loan,0,0
Joseph Verma,64,Female,Single,Graduate,Salaried,37000.0,3083.33,0.0,79000.0,60,729,0,13600.0,Rural,42.7,36000.0,Education Loan,2,0
James Jones,56,Male,Married,Graduate,Salaried,49900.0,4158.33,35400.0,364000.0,48,718,0,14100.0,Rural,85.0,446600.0,Home Loan,2,1
Jessica Williams,35,Female,Single,Graduate,Salaried,49300.0,4108.33,0.0,302000.0,180,698,1,21000.0,Urban,48.14,377900.0,Home Loan,2,1
Patricia Williams,63,Male,Married,Graduate,Self-Employed,48700.0,4058.33,22200.0,52000.0,120,743,1,2400.0,Semiurban,12.41,85700.0,Home Loan,0,1
Thomas Verma,43,Male,Married,Post Graduate,Salaried,28700.0,2391.67,24300.0,106000.0,60,660,1,34400.0,Rural,46.79,150700.0,Business Loan,1,1
Thomas Lopez,26,Male,Married,Not Graduate,Salaried,27000.0,2250.0,6900.0,109000.0,360,627,1,13000.0,Urban,21.34,47100.0,Personal Loan,0,0
Susan Jones,66,Male,Divorced,Not Graduate,Self-Employed,33200.0,2766.67,0.0,130000.0,180,558,0,7600.0,Semiurban,26.1,131400.0,Home Loan,2,0
Jennifer Williams,64,Male,Married,Graduate,Salaried,130700.0,10891.67,62600.0,86000.0,240,653,0,9800.0,Urban,5.0,69300.0,Home Loan,0,1
William Jones,63,Male,Married,Not Graduate,Unemployed,25400.0,2116.67,29100.0,125000.0,36,752,3,6000.0,Semiurban,85.0,188800.0,Home Loan,2,1
Ananya Gonzalez,65,Male,Married,Graduate,Business,83700.0,6975.0,69800.0,270000.0,360,605,0,69600.0,Rural,5.86,158600.0,Personal Loan,0,1
Thomas Wilson,41,Female,Married,Not Graduate,Self-Employed,83800.0,6983.33,27400.0,355000.0,36,700,0,5600.0,Semiurban,85.0,621200.0,Home Loan,2,0
Rahul Sharma,43,Male,Married,Post Graduate,Business,94700.0,7891.67,3900.0,41000.0,48,670,1,64300.0,Semiurban,14.05,62100.0,Auto Loan,2,1
John Lopez,63,Female,Married,Graduate,Self-Employed,118000.0,9833.33,1300.0,86000.0,36,630,0,25500.0,Rural,24.03,77700.0,Auto Loan,0,1
James Brown,36,Female,Married,Not Graduate,Salaried,33700.0,2808.33,17200.0,199000.0,60,532,1,60600.0,Semiurban,85.0,191300.0,Business Loan,3,0
Rahul Verma,67,Male,Divorced,Not Graduate,Self-Employed,31400.0,2616.67,0.0,38000.0,360,789,1,19300.0,Semiurban,15.5,15300.0,Personal Loan,0,1
Amit Smith,35,Male,Divorced,Post Graduate,Salaried,48200.0,4016.67,0.0,202000.0,48,721,2,78800.0,Semiurban,85.0,348400.0,Home Loan,3,1
John Verma,45,Male,Married,Not Graduate,Salaried,33900.0,2825.0,32900.0,229000.0,60,850,1,7100.0,Semiurban,73.95,118700.0,Education Loan,2,0
Sarah Rodriguez,56,Male,Single,Graduate,Business,79600.0,6633.33,0.0,243000.0,360,766,0,24300.0,Rural,10.18,44100.0,Personal Loan,4,1
Elizabeth Sharma,31,Male,Single,Graduate,Salaried,65500.0,5458.33,0.0,226000.0,180,787,1,4000.0,Rural,28.5,25100.0,Personal Loan,0,1
Priya Martinez,35,Female,Married,Graduate,Business,113600.0,9466.67,37900.0,132000.0,240,540,0,17800.0,Semiurban,5.0,141200.0,Business Loan,0,1
John Davis,24,Female,Single,Not Graduate,Salaried,23900.0,1991.67,0.0,164000.0,48,539,0,25300.0,Semiurban,85.0,279000.0,Home Loan,2,0
Susan Davis,41,Male,Married,Graduate,Self-Employed,131000.0,10916.67,8800.0,74000.0,240,683,1,27900.0,Urban,5.22,10000.0,Personal Loan,3,1
Sarah Verma,33,Female,Married,Post Graduate,Salaried,35600.0,2966.67,35700.0,222000.0,48,588,0,13600.0,Rural,77.84,324300.0,Home Loan,0,1
Joseph Garcia,42,Male,Married,Graduate,Self-Employed,50400.0,4200.0,38000.0,324000.0,360,625,1,2400.0,Semiurban,16.29,273200.0,Home Loan,0,1
Amit Johnson,39,Female,Divorced,Graduate,Self-Employed,46000.0,3833.33,0.0,222000.0,120,850,1,32000.0,Semiurban,56.09,355400.0,Home Loan,0,1
Elizabeth Johnson,54,Female,Married,Graduate,Self-Employed,84300.0,7025.0,1400.0,117000.0,180,775,2,20100.0,Urban,17.5,190600.0,Home Loan,2,1
Thomas Davis,34,Female,Married,Not Graduate,Salaried,44500.0,3708.33,0.0,270000.0,36,605,2,4400.0,Rural,85.0,131600.0,Personal Loan,2,0
James Rodriguez,24,Male,Married,Graduate,Salaried,149400.0,12450.0,14800.0,393000.0,48,491,0,82400.0,Urban,59.84,387500.0,Business Loan,0,0
David Garcia,66,Male,Single,Graduate,Salaried,124800.0,10400.0,0.0,202000.0,36,598,0,93500.0,Urban,53.95,81200.0,Personal Loan,0,0
Jessica Miller,47,Female,Married,Graduate,Self-Employed,112600.0,9383.33,117100.0,230000.0,60,635,0,58300.0,Semiurban,20.03,299800.0,Auto Loan,1,1
Elizabeth Miller,49,Male,Single,Graduate,Business,23300.0,1941.67,0.0,241000.0,48,654,0,55700.0,Semiurban,85.0,113100.0,Personal Loan,0,0
John Johnson,67,Female,Divorced,Graduate,Salaried,106700.0,8891.67,0.0,36000.0,240,578,0,3100.0,Urban,5.0,50600.0,Business Loan,2,1
Carlos Davis,48,Male,Married,Not Graduate,Self-Employed,88500.0,7375.0,62100.0,143000.0,36,770,0,150700.0,Semiurban,31.65,187900.0,Business Loan,0,1
Richard Lopez,55,Male,Single,Graduate,Business,24900.0,2075.0,0.0,134000.0,240,623,1,15300.0,Urban,41.37,126600.0,Business Loan,1,1
Michael Rodriguez,28,Male,Married,Graduate,Salaried,25100.0,2091.67,7700.0,255000.0,12,732,1,5300.0,Urban,85.0,392500.0,Business Loan,2,1
Patricia Gonzalez,36,Male,Married,Not Graduate,Self-Employed,24800.0,2066.67,3600.0,245000.0,48,684,1,50200.0,Urban,85.0,392900.0,Home Loan,1,1
Karen Smith,62,Female,Single,Post Graduate,Business,20500.0,1708.33,0.0,169000.0,240,755,1,7700.0,Rural,58.78,98200.0,Personal Loan,0,0
Linda Verma,56,Male,Divorced,Not Graduate,Salaried,55800.0,4650.0,0.0,128000.0,240,661,1,22400.0,Urban,17.92,41700.0,Personal Loan,2,1
Susan Verma,50,Male,Single,Graduate,Salaried,183200.0,15266.67,0.0,28000.0,60,606,1,4100.0,Urban,5.02,10700.0,Personal Loan,0,1
Susan Lopez,38,Male,Single,Post Graduate,Salaried,46000.0,3833.33,0.0,179000.0,12,632,1,19300.0,Semiurban,85.0,70200.0,Personal Loan,2,0
Charles Miller,22,Male,Married,Post Graduate,Unemployed,55000.0,4583.33,47700.0,94000.0,180,633,0,24500.0,Urban,6.1,92200.0,Home Loan,0,1
Joseph Lopez,33,Male,Married,Not Graduate,Business,174800.0,14566.67,10900.0,83000.0,60,845,1,17700.0,Semiurban,10.88,93000.0,Home Loan,2,1
Mary Johnson,24,Male,Married,Graduate,Self-Employed,33300.0,2775.0,30600.0,263000.0,60,686,1,2200.0,Rural,85.0,121900.0,Education Loan,0,0
Amit Sharma,46,Female,Married,Graduate,Salaried,108000.0,9000.0,6200.0,254000.0,180,680,0,19900.0,Rural,14.83,226600.0,Auto Loan,0,1
Priya Williams,45,Male,Married,Not Graduate,Salaried,55600.0,4633.33,23900.0,136000.0,60,751,0,19000.0,Urban,34.21,144100.0,Home Loan,0,1
Carlos Martinez,50,Male,Married,Graduate,Salaried,57900.0,4825.0,0.0,39000.0,24,680,0,9100.0,Semiurban,33.68,34600.0,Home Loan,3,1
Priya Martinez,31,Male,Single,Graduate,Salaried,38900.0,3241.67,0.0,106000.0,360,770,1,76400.0,Semiurban,18.34,113800.0,Auto Loan,4,1
Priya Smith,27,Male,Single,Not Graduate,Self-Employed,57100.0,4758.33,0.0,269000.0,240,650,2,16200.0,Urban,36.16,51200.0,Personal Loan,0,0
Karen Martinez,51,Female,Single,Not Graduate,Unemployed,23400.0,1950.0,0.0,222000.0,24,642,0,59900.0,Urban,85.0,53700.0,Personal Loan,0,0
Jennifer Sharma,64,Male,Single,Graduate,Business,85100.0,7091.67,0.0,138000.0,120,602,0,3500.0,Semiurban,16.22,170900.0,Home Loan,0,1
Priya Hernandez,30,Male,Married,Not Graduate,Self-Employed,35100.0,2925.0,6200.0,185000.0,24,828,3,11500.0,Urban,85.0,180200.0,Home Loan,0,0
Robert Smith,59,Female,Single,Graduate,Salaried,118400.0,9866.67,0.0,10000.0,360,674,0,5800.0,Rural,5.0,1200.0,Personal Loan,2,1
Linda Jones,33,Male,Single,Graduate,Salaried,40600.0,3383.33,0.0,10000.0,180,586,0,15700.0,Semiurban,5.0,14300.0,Auto Loan,0,1
Barbara Lopez,51,Male,Single,Not Graduate,Salaried,26900.0,2241.67,0.0,358000.0,36,696,0,3600.0,Urban,85.0,425000.0,Home Loan,2,1
Robert Miller,27,Female,Divorced,Graduate,Self-Employed,73600.0,6133.33,0.0,226000.0,12,628,1,17500.0,Urban,85.0,193500.0,Home Loan,2,0
Patricia Garcia,62,Female,Divorced,Graduate,Business,28100.0,2341.67,0.0,180000.0,12,649,1,13100.0,Rural,85.0,309600.0,Auto Loan,1,1
Richard Verma,62,Female,Married,Post Graduate,Salaried,83100.0,6925.0,22100.0,144000.0,120,705,1,7600.0,Urban,17.11,173500.0,Business Loan,2,1
Karen Wilson,56,Male,Divorced,Graduate,Salaried,175000.0,14583.33,0.0,21000.0,240,802,3,30800.0,Semiurban,6.77,29200.0,Home Loan,0,1
Joseph Williams,40,Male,Married,Graduate,Salaried,88000.0,7333.33,27500.0,269000.0,36,688,1,90400.0,Urban,80.75,453400.0,Auto Loan,0,1
Amit Davis,24,Male,Married,Post Graduate,Salaried,21000.0,1750.0,1100.0,78000.0,48,623,0,7000.0,Rural,85.0,18500.0,Education Loan,2,0
Karen Verma,27,Male,Single,Not Graduate,Salaried,61200.0,5100.0,0.0,243000.0,60,640,1,37300.0,Semiurban,85.0,45600.0,Education Loan,0,0
Richard Johnson,21,Female,Married,Not Graduate,Salaried,73500.0,6125.0,6000.0,192000.0,48,733,0,40700.0,Urban,60.38,329200.0,Business Loan,0,1
Elizabeth Wilson,64,Male,Married,Post Graduate,Salaried,98600.0,8216.67,17700.0,175000.0,60,523,1,20700.0,Urban,33.19,170500.0,Auto Loan,3,1
Charles Smith,65,Female,Married,Graduate,Business,22600.0,1883.33,6100.0,63000.0,120,597,0,68400.0,Semiurban,21.95,106600.0,Home Loan,1,1
Ananya Sharma,62,Female,Married,Not Graduate,Self-Employed,49400.0,4116.67,83900.0,64000.0,180,697,1,101800.0,Rural,5.9,58900.0,Auto Loan,0,1
Charles Lopez,67,Male,Married,Graduate,Salaried,54500.0,4541.67,7400.0,215000.0,360,543,0,13500.0,Urban,11.58,231200.0,Auto Loan,2,1
Amit Martinez,33,Male,Married,Not Graduate,Salaried,28300.0,2358.33,5500.0,187000.0,360,655,2,31600.0,Semiurban,39.74,63600.0,Personal Loan,0,1
Robert Martinez,42,Female,Divorced,Graduate,Salaried,37500.0,3125.0,0.0,184000.0,120,642,0,32600.0,Urban,49.07,96000.0,Personal Loan,3,1
Rahul Wilson,41,Male,Single,Not Graduate,Salaried,46100.0,3841.67,0.0,206000.0,240,750,1,15500.0,Rural,30.15,305700.0,Auto Loan,0,1
Amit Sharma,42,Female,Married,Graduate,Salaried,100600.0,8383.33,20200.0,10000.0,360,660,0,11400.0,Semiurban,5.0,5000.0,Education Loan,1,1
William Lopez,48,Male,Married,Graduate,Salaried,139300.0,11608.33,26200.0,271000.0,24,775,3,81400.0,Urban,85.0,358500.0,Home Loan,2,1
Rahul Smith,29,Male,Married,Not Graduate,Self-Employed,64500.0,5375.0,50000.0,148000.0,12,686,2,46800.0,Urban,85.0,203100.0,Home Loan,1,1
James Sharma,46,Female,Married,Not Graduate,Self-Employed,42600.0,3550.0,48600.0,285000.0,12,822,0,3600.0,Urban,85.0,308300.0,Auto Loan,2,1
Mary Verma,29,Female,Single,Not Graduate,Salaried,33200.0,2766.67,0.0,10000.0,120,569,3,3800.0,Semiurban,35.54,17900.0,Home Loan,3,1
Priya Verma,35,Male,Married,Graduate,Business,201100.0,16758.33,4400.0,231000.0,240,809,0,76700.0,Urban,5.62,41400.0,Personal Loan,2,1
Carlos Davis,30,Female,Single,Graduate,Salaried,203400.0,16950.0,0.0,230000.0,60,647,1,2500.0,Urban,24.39,232400.0,Home Loan,0,1
Richard Jones,44,Male,Married,Not Graduate,Salaried,136500.0,11375.0,4600.0,46000.0,120,798,1,35000.0,Rural,5.81,16300.0,Personal Loan,1,1
James Verma,62,Female,Married,Not Graduate,Self-Employed,89300.0,7441.67,27200.0,122000.0,120,775,0,7700.0,Semiurban,10.47,143800.0,Auto Loan,3,1
Michael Verma,28,Female,Married,Not Graduate,Self-Employed,37700.0,3141.67,23100.0,85000.0,24,452,3,1100.0,Semiurban,85.0,126900.0,Home Loan,0,0
Robert Garcia,44,Male,Single,Post Graduate,Business,96400.0,8033.33,0.0,258000.0,60,718,0,1800.0,Urban,53.53,266100.0,Home Loan,1,1
Amit Williams,36,Male,Married,Not Graduate,Self-Employed,43700.0,3641.67,15200.0,208000.0,12,760,0,14000.0,Urban,85.0,326500.0,Home Loan,1,1
Barbara Martinez,46,Female,Single,Graduate,Business,37800.0,3150.0,0.0,324000.0,36,786,2,2400.0,Urban,85.0,86300.0,Personal Loan,0,0
Jessica Williams,47,Male,Married,Not Graduate,Business,81500.0,6791.67,61300.0,198000.0,360,586,1,27200.0,Semiurban,7.14,245600.0,Auto Loan,0,1
Robert Garcia,57,Female,Divorced,Post Graduate,Self-Employed,23700.0,1975.0,0.0,246000.0,360,727,0,31300.0,Semiurban,34.6,30000.0,Personal Loan,3,1
Carlos Gonzalez,24,Male,Divorced,Not Graduate,Salaried,22200.0,1850.0,0.0,285000.0,360,696,0,14000.0,Rural,42.79,33500.0,Personal Loan,1,0
Susan Lopez,44,Female,Married,Not Graduate,Self-Employed,46700.0,3891.67,18900.0,230000.0,240,715,1,40700.0,Urban,23.02,72100.0,Personal Loan,0,0
Robert Sharma,39,Female,Married,Not Graduate,Unemployed,46500.0,3875.0,66500.0,145000.0,240,760,0,20200.0,Urban,6.42,231800.0,Home Loan,2,1
Thomas Wilson,56,Female,Single,Graduate,Self-Employed,121700.0,10141.67,0.0,129000.0,180,773,3,16900.0,Rural,15.94,180000.0,Business Loan,1,1
Susan Wilson,59,Male,Single,Graduate,Salaried,26100.0,2175.0,0.0,173000.0,180,628,1,15700.0,Urban,57.98,226900.0,Home Loan,2,1
Karen Jones,30,Female,Married,Graduate,Self-Employed,25900.0,2158.33,1100.0,252000.0,180,701,0,16900.0,Urban,62.22,412900.0,Business Loan,0,1
Barbara Verma,45,Female,Married,Post Graduate,Salaried,27200.0,2266.67,1100.0,111000.0,120,683,0,103200.0,Urban,39.22,23700.0,Personal Loan,3,0
Jessica Jones,38,Male,Divorced,Not Graduate,Salaried,21400.0,1783.33,0.0,239000.0,60,661,1,34300.0,Semiurban,85.0,74500.0,Personal Loan,1,0
Michael Brown,39,Male,Single,Graduate,Salaried,23300.0,1941.67,0.0,209000.0,240,668,0,11400.0,Rural,44.85,311700.0,Auto Loan,2,1
James Wilson,56,Male,Divorced,Post Graduate,Self-Employed,68500.0,5708.33,0.0,67000.0,48,696,2,39700.0,Urban,34.96,59000.0,Business Loan,0,1
Robert Miller,30,Female,Married,Graduate,Business,45400.0,3783.33,14800.0,234000.0,120,632,4,12000.0,Urban,62.79,68200.0,Education Loan,0,0
Elizabeth Garcia,53,Male,Married,Graduate,Salaried,84900.0,7075.0,30500.0,193000.0,60,751,1,4000.0,Semiurban,36.57,75700.0,Personal Loan,0,1
Robert Brown,25,Male,Single,Not Graduate,Salaried,240800.0,20066.67,0.0,130000.0,48,782,1,19400.0,Rural,14.99,230200.0,Home Loan,3,1
Mary Brown,67,Female,Single,Not Graduate,Salaried,68400.0,5700.0,0.0,191000.0,360,614,0,41700.0,Urban,9.31,258300.0,Business Loan,0,1
Elizabeth Martinez,55,Male,Married,Graduate,Self-Employed,22300.0,1858.33,13500.0,134000.0,48,785,1,14200.0,Rural,85.0,143100.0,Home Loan,2,1
Charles Martinez,64,Male,Married,Graduate,Salaried,25000.0,2083.33,2300.0,202000.0,60,615,1,61000.0,Urban,85.0,188400.0,Business Loan,0,0
James Davis,54,Female,Single,Graduate,Salaried,115800.0,9650.0,0.0,165000.0,36,752,1,14700.0,Urban,50.6,283800.0,Auto Loan,0,1
Robert Gonzalez,53,Female,Married,Graduate,Salaried,53700.0,4475.0,7600.0,42000.0,360,785,0,12900.0,Urban,5.0,20500.0,Education Loan,0,1
Patricia Verma,41,Male,Married,Graduate,Salaried,98400.0,8200.0,700.0,168000.0,120,672,2,190300.0,Urban,24.22,185900.0,Business Loan,2,1
Ananya Verma,37,Male,Married,Graduate,Salaried,107400.0,8950.0,2900.0,140000.0,180,615,0,19800.0,Urban,8.46,232100.0,Home Loan,2,1
Amit Johnson,42,Female,Divorced,Graduate,Self-Employed,138200.0,11516.67,0.0,237000.0,360,633,1,49100.0,Rural,8.32,332800.0,Auto Loan,3,1
Thomas Lopez,57,Male,Single,Graduate,Salaried,154700.0,12891.67,0.0,259000.0,60,709,2,49000.0,Urban,38.14,250900.0,Home Loan,3,1
Karen Davis,35,Male,Single,Graduate,Self-Employed,56400.0,4700.0,0.0,134000.0,36,837,1,78300.0,Urban,85.0,163700.0,Home Loan,0,1
Barbara Johnson,55,Male,Married,Graduate,Salaried,38800.0,3233.33,1800.0,109000.0,36,545,0,2700.0,Urban,85.0,27300.0,Personal Loan,2,0
John Lopez,48,Male,Married,Post Graduate,Salaried,167000.0,13916.67,32100.0,29000.0,240,688,1,9500.0,Semiurban,5.0,49300.0,Home Loan,1,1
James Smith,27,Female,Single,Not Graduate,Salaried,55700.0,4641.67,0.0,107000.0,180,673,0,43800.0,Rural,12.81,93100.0,Auto Loan,2,1
Charles Hernandez,52,Male,Single,Graduate,Self-Employed,23000.0,1916.67,0.0,151000.0,48,643,2,24800.0,Urban,85.0,82000.0,Education Loan,0,0
Robert Lopez,31,Female,Married,Graduate,Business,66300.0,5525.0,40400.0,59000.0,36,674,0,24600.0,Urban,18.43,26600.0,Personal Loan,2,1
John Smith,30,Female,Single,Graduate,Business,59900.0,4991.67,0.0,260000.0,36,637,0,5500.0,Urban,85.0,346800.0,Home Loan,0,1
James Davis,29,Male,Single,Graduate,Self-Employed,121800.0,10150.0,0.0,204000.0,180,779,0,9900.0,Semiurban,11.17,316200.0,Business Loan,0,1
Elizabeth Hernandez,34,Female,Single,Graduate,Salaried,67700.0,5641.67,0.0,169000.0,12,787,2,22100.0,Urban,85.0,185100.0,Business Loan,0,1
Barbara Gonzalez,33,Female,Single,Graduate,Business,39300.0,3275.0,0.0,178000.0,12,687,1,9700.0,Semiurban,85.0,277300.0,Auto Loan,0,1
Richard Lopez,45,Male,Married,Graduate,Self-Employed,172500.0,14375.0,500.0,208000.0,60,669,1,7100.0,Semiurban,26.13,305500.0,Auto Loan,0,1
Susan Johnson,22,Male,Married,Not Graduate,Salaried,92800.0,7733.33,40700.0,237000.0,180,641,1,2800.0,Semiurban,14.53,362200.0,Business Loan,2,1
Charles Johnson,55,Female,Married,Graduate,Business,64800.0,5400.0,16200.0,253000.0,180,687,2,5100.0,Urban,29.71,442300.0,Home Loan,2,1
John Miller,27,Female,Single,Graduate,Salaried,35600.0,2966.67,0.0,152000.0,60,828,0,43900.0,Urban,85.0,89800.0,Education Loan,0,0
Thomas Martinez,41,Female,Single,Not Graduate,Salaried,41000.0,3416.67,0.0,167000.0,180,672,1,38100.0,Semiurban,35.93,88700.0,Education Loan,0,1
Linda Gonzalez,38,Male,Married,Graduate,Salaried,69900.0,5825.0,21900.0,196000.0,120,613,1,1400.0,Semiurban,25.27,290800.0,Business Loan,0,1
Elizabeth Martinez,23,Female,Married,Graduate,Salaried,23400.0,1950.0,23500.0,164000.0,360,648,0,6800.0,Urban,11.66,263600.0,Home Loan,2,1
Mary Williams,62,Male,Married,Graduate,Salaried,33300.0,2775.0,30900.0,259000.0,36,740,0,24700.0,Rural,85.0,256800.0,Business Loan,0,0
William Miller,59,Male,Single,Graduate,Salaried,76300.0,6358.33,0.0,290000.0,180,623,0,11700.0,Semiurban,25.34,136700.0,Personal Loan,1,0
Patricia Martinez,61,Female,Divorced,Not Graduate,Salaried,49400.0,4116.67,0.0,211000.0,60,677,0,52000.0,Urban,85.0,85000.0,Personal Loan,0,0
Rahul Johnson,31,Male,Single,Graduate,Salaried,43200.0,3600.0,0.0,98000.0,36,718,0,46100.0,Urban,75.62,79000.0,Business Loan,1,1
Richard Hernandez,59,Male,Married,Graduate,Self-Employed,27400.0,2283.33,51300.0,226000.0,240,629,0,66700.0,Rural,14.36,216600.0,Home Loan,0,1
Ananya Brown,44,Male,Married,Graduate,Self-Employed,46200.0,3850.0,43100.0,215000.0,48,539,1,24800.0,Urban,64.22,36400.0,Personal Loan,0,0
Carlos Jones,66,Male,Married,Graduate,Salaried,86300.0,7191.67,12000.0,91000.0,60,594,0,13000.0,Rural,18.51,120400.0,Business Loan,0,1
Carlos Brown,39,Male,Single,Post Graduate,Salaried,33800.0,2816.67,0.0,214000.0,60,611,0,27900.0,Urban,85.0,181200.0,Business Loan,0,0
Elizabeth Jones,24,Female,Married,Not Graduate,Salaried,20200.0,1683.33,1000.0,131000.0,48,662,3,2800.0,Urban,85.0,235400.0,Business Loan,0,1
William Davis,46,Male,Married,Graduate,Business,69700.0,5808.33,3200.0,247000.0,60,684,1,300.0,Semiurban,72.7,381600.0,Home Loan,1,1
John Smith,58,Female,Single,Graduate,Salaried,181900.0,15158.33,0.0,225000.0,60,746,0,500.0,Urban,24.74,368600.0,Auto Loan,0,1
John Verma,62,Female,Single,Graduate,Salaried,62000.0,5166.67,0.0,200000.0,240,582,1,15700.0,Urban,21.94,202600.0,Home Loan,0,1
